"sp","comp","comp_se","control_mean","control_sd","control_se","control_n","DD_mean","DD_sd","DD_se","DD_n","ID_mean","ID_sd","ID_se","ID_n","ID","ID_var","sei","zi","ci.lb","ci.ub","hpq","hpq_se","C_mean","C_sd","C_se","C_n","T_mean","T_sd","T_se","T_n","herb_mean","herb_se","ho_mean","ho_se"
"ARCA",9.08333333333333,0.645008025946463,23.0013703,13.43783567,6.009582806,5,14.87575056,2.441950876,1.220975438,4,23.70812839,6.409252528,3.700383672,3,-0.0302641669671937,0.0926235653187209,0.304341198852079,-0.0994415711094807,-0.626761955729012,0.566233621794625,0.21556,0.0032702361450581,23.001370304,13.4378356707356,6.00958280604727,5,18.6610553457143,6.24205329894416,2.35927438563094,7,13.104858471849,1.71803683360265,13.3638205640662,1.63020827581363
"ARDO",4.16666666666667,0.613402499393853,30.27870643,11.30242264,5.054597067,5,33.21634903,17.52183882,10.11623836,3,49.66926291,20.46559705,10.23279852,4,-0.49494158188755,0.0703112456962309,0.265162677796539,-1.86655824266235,-1.01465088041296,0.0247677166378643,2.6655,0.364739785478786,30.278706428,11.3024226406484,5.05459706698448,5,42.6180141071429,19.7256432770502,7.4555923659783,7,18.8564131872717,5.13065224234922,18.8658620938266,5.13433517234105
"ENCA",8.46153846153846,0.881544278854927,16.56216068,15.75923037,6.433678856,6,15.20684035,12.22423259,7.057663979,4,41.84161171,30.20666291,15.10333145,3,-0.926770723516968,0.324625492543947,0.569759153102385,-1.62660085137839,-2.04347814345969,0.18993669642575,0.338888888888889,0.0485753836962156,16.5621606783333,15.759230365811,6.43367885586852,6,30.4267096964286,26.6218093472541,10.062098140487,7,13.1319539507815,4.29279009199183,14.6851606973561,4.21751334943204
"ERFA",20.8461538461538,1.82168615132384,17.45835871,9.224618143,4.125374647,5,20.02122754,7.338590316,3.669295158,4,20.57479198,10.09555115,5.047775575,4,-0.164248093054734,0.116027397477019,0.340627945825088,-0.482192066352288,-0.831866598999767,0.503370412890298,0.682857142857143,0.0753776468121186,17.458358712,9.22461814328935,4.12537464697458,5,20.2980097595,8.17608052932171,2.89068099290534,8,4.51092271346669,0.631676131565927,11.0611529550386,2.3074919456447
"ERPA",27,5.52848103588161,9.512228896,11.78184443,5.269001007,5,12.36567677,15.39263793,7.696318966,4,7.320857882,11.1542058,5.577102898,4,0.261850704917485,0.887180381973696,0.94190253316025,0.278001911767801,-1.58424433702365,2.10794574685862,0.148555555555556,0.0367588166670205,9.5122288964,11.7818444252352,5.26900100703057,5,9.84326732325,12.7332479505966,4.50188298619828,8,3.58292396788562,2.36462135339733,3.88632905796786,2.32307715220606
"ISME",16.3076923076923,1.33678055361406,27.13207901,6.722842021,3.006546352,5,10.87422756,4.854490449,2.427245225,4,15.78854598,7.704766073,3.852383037,4,0.541432015975512,0.071814502731343,0.267982280629416,2.02040229937531,0.0161963974469516,1.06666763450407,0.653333333333333,0.0424264068711929,27.132079006,6.72284202050298,3.00654635196734,5,13.331386771,6.51470363581907,2.30329555915416,8,11.2225468460199,2.21211203353975,11.2473503040633,2.20419449679717
"LUAL",6.69230769230769,0.811650861094585,12.720141,9.502556847,4.249672614,5,25.94265467,4.361008749,2.180504374,4,25.16845611,29.06335033,14.53167517,4,-0.68240482601153,0.444979791025379,0.66706805576746,-1.02299131267263,-1.98983419055291,0.625024538529847,0.551111111111111,0.0434435919211608,12.720140999,9.50255684688226,4.24967261393696,5,25.555555391,19.2438819814648,6.80373972272369,8,15.3548331306333,5.95658929256118,16.7372464983401,5.72784504600371
"SAAP",10.2142857142857,0.859200826148713,7.800480208,4.118494735,1.681368435,6,22.56791672,7.301476903,3.650738451,4,19.59087274,15.13752497,7.568762486,4,-0.920878484316174,0.195719986984644,0.442402516928469,-2.08153988523774,-1.78797148416584,-0.0537854844665036,0.55,0.114066257548458,7.800480208,4.11849473460714,1.68136843468779,6,21.079394731625,11.1168743264091,3.93040861090126,8,13.8891707445905,2.17738020507895,14.5499535392581,1.76469046002163
"SAME",6.23076923076923,0.760851801279887,12.575254,7.689724499,3.438949342,5,15.83991726,5.613203714,2.806601857,4,20.64922499,23.71714203,11.85857101,4,-0.495946873363174,0.404590584078301,0.636074354205781,-0.77969952739633,-1.74262969909608,0.75073595236973,0.08756,0.19921665790218,12.575253996,7.68972449883379,3.43894934152757,5,18.244571126625,16.1612036657124,5.71384835208106,8,7.89153236220885,1.8568621995916,7.92458662876888,1.84220320172141
